target_path,field,rows_changed,reason,sha256_upstream,sha256_shipped
data-frozen/confirmatory/v4-phase16-fresh-confirmation-authority-v1.json,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent. This is the only redacted file in the frozen data tier.",312f0ac3379a8152a99bcd3fa36b5f6e18bd5c8d029e2341cbd7200c066db0d5,f8de23a4b71bb61fac6d5b36f8a54675daec048c4587d536a1eb15600386d869
provenance/governance/authorize-phase17-empirical-application-v1.R,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",59f4044eae84573c2404494549972dd5bd27e73010d606155b4175a674f5934b,91c2067a2713e00ec05123ae68c4837e3972d61b5a4190dd314af7f01bbe1368
provenance/governance/authorize-phase18-review-v1.R,authority_text,1,"The field carrying the authorising instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status and the timestamps are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",e483b4e04777747455d6a43b0771b9439691b9dce86609cd813c870e9751ae3f,91a190ef147da44bbd487787c4da942adb63c379cd1fc5be67391dc20d91463a
provenance/governance/build-step14-1-governance-v1.R,authority$source; authority$instruction,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",9989c44cd461b2a874f704f09c8a2847ab53bb75cf97c9a4dad509a8d590d056,dd43604e86188d4ef9f7a93b36459bc88e39287829ebdc8e9637804b86311927
provenance/governance/v4-cluster-polytomous-governance-manifest-v1.json,authority.source; authority.instruction,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",d89caf5f5c21bfc38e85846089ff00ad4b1b9451f5881d3b211d5392a2672565,9aaf685e2d1758ba78878cbc91e0cdd29630712d50c23a6a8cc11d4e904b2f1c
provenance/governance/v4-phase14-autonomous-authority-addendum-v1.json,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",70326c70bf2b88553db760d3304d444e4113a939d2eca039ab082f63d4f8f2c8,3f59bfa8a58ee0226e09d801dc4cbdf5636e8c536c695a88926d61a3cfb7889e
provenance/governance/v4-phase15-autonomous-authority-addendum-v1.json,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",1f6f7dd9f6b718d155223eac8a292a7f38463e388ff0a0e41f1afa01aed97d6b,040bf9b7ac0c811d35139de709c5447070fcfad92d47b4db97867fa8efe0bcf7
provenance/governance/v4-phase17-empirical-application-authority-v1.json,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",dfc51eab15123ed0e68a30ac303cfe4f818927776d48f2e5190ab2da2a1bfbb4,190e14913bd4b719b1a2934040d59e9552f3089b0d4f5bc2498e46063fa17aeb
provenance/governance/v4-phase18-review-authority-v1.json,authority_text,1,"The field carrying the authorising instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status and the timestamps are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent.",2563ff28d9eab5a05bc19c6e7530288fd688c0c8dcd7ff35eb3f67b67293cd6c,d7f63629d9ff6b6977d866c94085f63074e31b717ebc995e5e609bf15debf769
reference-code/phase16/authorize-phase16-fresh-confirmation-v1.R,authority_source; authority_text,2,"Two fields were redacted. The one naming where the authority came from identified the command-line harness through which the author's instruction was received. The one carrying that instruction held it verbatim as a short colloquial message; it was replaced by an English authority token in the same form the companion package uses. Nothing evidentiary was lost -- the authorized steps, the explicitly excluded work, the required stop, the status, the timestamps and the parent-governance digest are all separate structured fields in the same file and are unchanged. The upstream digest is recorded here so the departure from byte-identity is verifiable rather than silent. This file also carries the nine-line archival banner; its sha256_shipped in reference-code/ARCHIVAL-DIGESTS.csv was updated to match, and it is the one reference-code file for which stripping the banner does not reproduce the archival original.",b196fc94ae4c524180300b95b4ac08c1b5de7efb61da2e68519ecfb9a8c84905,1b0f7b3607864e5dd80c7a3c871c8f0d2b9e556ef790382a336da51eb531a6af
