sha256,name,bytes,reason
84a2c8be7926e5f33369e5596737a54e85a4d8a5450224705ff04465dc6a4bf3,P17-T01.log,52,"D-3: records how compute was scheduled, not what was decided"
62e18906d1a620a8d62316e9ddc49e756cbe48797eecf540e50c9be383345f74,P17-T02.log,52,"D-3: records how compute was scheduled, not what was decided"
1a7b6389b572523702287975119a3c48fd14244907fb9fb02010938172f2f92a,P17-T03.log,52,"D-3: records how compute was scheduled, not what was decided"
2e14ead360537bba32fe9d133790b5bbf8d5d75b3fdb2513d05f5beb183ed8fb,P17-T04.log,52,"D-3: records how compute was scheduled, not what was decided"
1c66a262a3317264440c4b6b069b2f93b44b95ee599dd21482fd21ab6c6b8133,P17-T05.log,52,"D-3: records how compute was scheduled, not what was decided"
2ed82cbb33eb9023d8cb480d840c478dc915f1bacab4b3f14dc90c7717863896,P17-T06.log,52,"D-3: records how compute was scheduled, not what was decided"
d7ef18ec6a45a497ba4073865e49c0a895dbc7e480cd96b231aeb645e9fe0557,P17-T07.log,52,"D-3: records how compute was scheduled, not what was decided"
e56ed46728d60a9384d2cf3674b927675538d49253e9ad908c24b0b35ccf8ad5,P17-T08.log,52,"D-3: records how compute was scheduled, not what was decided"
de940901858fc914560892386a0638943bb6e04883e0c0412d71fe9303889c3f,P17-T09.log,52,"D-3: records how compute was scheduled, not what was decided"
c3422acc28365be26b92b1d4e019728259d0b6a26ae9fc00128b1e59ceac76a2,P17-T10.log,52,"D-3: records how compute was scheduled, not what was decided"
7223874cbaa317ea328ce567d0aa3848f00c6ea7859239db688124e0c964fa0b,P17-T11.log,52,"D-3: records how compute was scheduled, not what was decided"
3c8043cea9b1f2d9a18e64a4f26acbb0aa40889dbcc2cab5c0920bebd26c0d05,P17-T12.log,52,"D-3: records how compute was scheduled, not what was decided"
5ebf8ace89bf01563bb88e8faae57df00f2676ec4ee9117012e9720e6ced723f,v4-phase17-aws-execution-bundle-v1.tar.gz,33733,"D-3: records how compute was scheduled, not what was decided"
b9220a0add4979af61a56b387e0019c0797c6dc695387ae70b7d488ab99dc2f2,P16-C001.log,54,"D-3: records how compute was scheduled, not what was decided"
26efb652fa361ef11db7b832726c167597c894c2cb5122ce04711966673d800f,P16-C002.log,54,"D-3: records how compute was scheduled, not what was decided"
5df2273ff353e7d78ee207f152ff3be08e317133af10d6059f87ea8587478181,P16-C003.log,54,"D-3: records how compute was scheduled, not what was decided"
bc9f5dcd5046e2a65fe561777a1b64c2de733d41c847295511e123ce5f8544b5,P16-C004.log,54,"D-3: records how compute was scheduled, not what was decided"
85ec0d14d02bdc02c8b6e84e57b99be86f47a9ba0f4f7c82f667a859382c7d23,P16-C005.log,54,"D-3: records how compute was scheduled, not what was decided"
731bc8299afa6491fadf384c75040e83786b318fc0d9991dbc1b70698358a03f,P16-C006.log,54,"D-3: records how compute was scheduled, not what was decided"
8faeadd448d49b402305d8444a7f5ece2ae459bab569af31090d93771478283e,P16-C007.log,54,"D-3: records how compute was scheduled, not what was decided"
23df0b4bf78f5edf2e2a94d1e007d56407cf6290de0af5ce479d6647bb31640f,P16-C008.log,54,"D-3: records how compute was scheduled, not what was decided"
0aafe661e6940d43e08c1b556b5c2e9e2fdefee7d9f5a1b484522ef2e121a9c1,P16-C009.log,54,"D-3: records how compute was scheduled, not what was decided"
37631ce9af50df064510c22751793c428d8852f7f302827c797882c80b8e5467,P16-C010.log,54,"D-3: records how compute was scheduled, not what was decided"
6c60bc6c0943d996e6a8b4220008887cd27d36ccfa4182a86cbd5792d328cd4e,P16-C011.log,54,"D-3: records how compute was scheduled, not what was decided"
1f367e64652369104689ee59a272804db65404ca6293008c28c1885520bf3cd5,P16-C012.log,54,"D-3: records how compute was scheduled, not what was decided"
b0c91b077ff871dbdac726b92b32fb5aa55ae3ea95a3180cce15c510332ed193,P16-C013.log,54,"D-3: records how compute was scheduled, not what was decided"
4135007a8955d996433586c3bf3ba712407e651053871d59bd0998627363edf0,P16-C014.log,54,"D-3: records how compute was scheduled, not what was decided"
af8e7c676f643de0ec25b6ebe7a565c0942ebe968a45129699bb288b37fe43a0,P16-C015.log,54,"D-3: records how compute was scheduled, not what was decided"
217a0c3bff6fedf029aa36cae1cd9faedc4f572c770e12cc4466937b247b0ed3,P16-C016.log,54,"D-3: records how compute was scheduled, not what was decided"
959f7c147108ccce6a6b3e1d61e57d89398cb1a15a2e32bdbe41e1462c3f9bff,P16-C017.log,54,"D-3: records how compute was scheduled, not what was decided"
643b383d97c9d4ed6869af3054c7865ae37b59bd765ba9c5909edc5c57d6339f,P16-C018.log,54,"D-3: records how compute was scheduled, not what was decided"
e13ab77cc23f7479c6bf7b824148d0b822570e1122a7c6b081a798c48027c9e4,P16-C019.log,54,"D-3: records how compute was scheduled, not what was decided"
84345a644cdde60e9ed8f18dfbee42accad597860c2ea38db95ede74ab4f163b,P16-C020.log,54,"D-3: records how compute was scheduled, not what was decided"
f314eccaf4de50b3266e079f78486543eb720cbc01d7398d15d9d9ac948fb85e,P16-C021.log,54,"D-3: records how compute was scheduled, not what was decided"
1d6381dc7e11dc8205d4318ea2a3810b365d62556150a05d6c3f8c35fa1e6df8,P16-C022.log,54,"D-3: records how compute was scheduled, not what was decided"
e1c15aba5f7fc9aa1fb076b17a1969f37ca96377a6d22fc987a49e318805aaf0,P16-C023.log,54,"D-3: records how compute was scheduled, not what was decided"
2666ae478e797367053f8546dff1dc107975f1594711589a377bb6a16a5b18e6,P16-C024.log,54,"D-3: records how compute was scheduled, not what was decided"
e1257ff16f821ef3cf6c5eed88a91ae2ffa5a067e12603f32c02660d47270797,"mokken::SWMDK (R object, not a file)",,"D-5: no responses ship. This is the digest of the SWMDK data frame as loaded from the mokken package, recorded in config.yml under frozen_contract.swmdk_lock and asserted by read_swmdk() on every load. It resolves to a live check rather than to a shipped file."
d4a252b5812f39e34345fdc8d6f252670da0cd444229a7662e06619695dd5614,v4-phase16-aws-execution-bundle-v1.tar.gz,19700,"D-3: redundant execution container excluded from the public package. Members ship individually as annotated reference code or locked inputs; the repair audit retains a recoverable copy outside the package."
