"scale","item","score","count","mass"
"teacher","Item1",1,55,0.0860719874804382
"teacher","Item1",2,137,0.214397496087637
"teacher","Item1",3,307,0.480438184663537
"teacher","Item1",4,133,0.208137715179969
"teacher","Item1",5,7,0.0109546165884194
"teacher","Item2",1,30,0.0469483568075117
"teacher","Item2",2,99,0.154929577464789
"teacher","Item2",3,261,0.408450704225352
"teacher","Item2",4,218,0.341158059467919
"teacher","Item2",5,31,0.0485133020344288
"teacher","Item3",1,49,0.0766823161189358
"teacher","Item3",2,116,0.181533646322379
"teacher","Item3",3,269,0.420970266040689
"teacher","Item3",4,173,0.270735524256651
"teacher","Item3",5,32,0.0500782472613459
"teacher","Item4",1,14,0.0219092331768388
"teacher","Item4",2,27,0.0422535211267606
"teacher","Item4",3,248,0.38810641627543
"teacher","Item4",4,312,0.488262910798122
"teacher","Item4",5,38,0.0594679186228482
"teacher","Item5",1,18,0.028169014084507
"teacher","Item5",2,65,0.101721439749609
"teacher","Item5",3,329,0.514866979655712
"teacher","Item5",4,199,0.311424100156495
"teacher","Item5",5,28,0.0438184663536776
"teacher","Item6",1,14,0.0219092331768388
"teacher","Item6",2,66,0.103286384976526
"teacher","Item6",3,272,0.42566510172144
"teacher","Item6",4,255,0.39906103286385
"teacher","Item6",5,32,0.0500782472613459
"classmate","Item8",1,2,0.00312989045383412
"classmate","Item8",2,20,0.0312989045383412
"classmate","Item8",3,92,0.143974960876369
"classmate","Item8",4,347,0.543035993740219
"classmate","Item8",5,178,0.278560250391236
"classmate","Item9",1,21,0.0328638497652582
"classmate","Item9",2,49,0.0766823161189358
"classmate","Item9",3,137,0.214397496087637
"classmate","Item9",4,207,0.323943661971831
"classmate","Item9",5,225,0.352112676056338
"classmate","Item10",1,16,0.0250391236306729
"classmate","Item10",2,31,0.0485133020344288
"classmate","Item10",3,143,0.223787167449139
"classmate","Item10",4,265,0.41471048513302
"classmate","Item10",5,184,0.287949921752739
"classmate","Item11",1,4,0.00625978090766823
"classmate","Item11",2,10,0.0156494522691706
"classmate","Item11",3,113,0.176838810641628
"classmate","Item11",4,358,0.560250391236307
"classmate","Item11",5,154,0.241001564945227
"classmate","Item13",1,2,0.00312989045383412
"classmate","Item13",2,14,0.0219092331768388
"classmate","Item13",3,123,0.192488262910798
"classmate","Item13",4,343,0.536776212832551
"classmate","Item13",5,157,0.245696400625978
