"criterion_id","criterion","evidence","pass","note"
"G18A-01","valid_Phase18_authority_and_zero_output_lock","P18-T001,P18-T002",TRUE,""
"G18A-02","Phase17_parent_and_protected_baseline_intact","P18-T003,P18-T004",TRUE,""
"G18A-03","three_source_identities_verified","P18-T006,P18-T007,P18-T008",TRUE,""
"G18A-04","three_original_artifacts_acquired_and_hashed","P18-T005",TRUE,""
"G18A-05","Molenaar_page_crosswalk_closed","P18-T009,P18-T012",TRUE,""
"G18A-06","Rueschendorf_page_crosswalk_closed","P18-T010,P18-T013",TRUE,""
"G18A-07","Andreadis_file_line_crosswalk_closed","P18-T011,P18-T014,P18-T015,P18-T016",TRUE,""
"G18A-08","v4_formula_and_assumption_bridge_verified","P18-T017,P18-T018,P18-T019",TRUE,""
"G18A-09","prior_weighted_software_credit_locked","P18-T020",TRUE,""
"G18A-10","allowed_and_forbidden_claim_matrix_complete","P18-T021",TRUE,""
"G18A-11","paper_architecture_rule_applied","P18-T022",TRUE,""
"G18A-12","no_package_or_manuscript_changes","P18-T023",TRUE,""
"G18A-13","evidence_manifest_complete","finalizer_requires_all_machine_evidence_QMD_and_HTML",TRUE,"PASS_FINALIZED: machine evidence, QMD, and rendered HTML were all present before manifest hashing."
