"check_id","criterion","pass","observed"
"P17F-001_AUTHORITY","Phase 17 authority is valid through G17 only",TRUE,"PASS"
"P17F-002_ZERO_OUTPUT_AUTHORITY","Authority was issued before empirical outputs",TRUE,"PASS"
"P17F-003_PROTOCOL_LOCK","Outcome-blind protocol lock is intact",TRUE,"PASS"
"P17F-004_CODE_LOCK","All execution code-lock hashes remain intact",TRUE,"PASS"
"P17F-005_PREOUTCOME_TESTS","All pre-outcome executable tests passed",TRUE,"PASS"
"P17F-006_PARENT_METHOD","Phase 16 confirmed method and gamma are inherited",TRUE,"PASS"
"P17F-007_AWS_ONLY","Heavy compute used AWS and never GCP",TRUE,"PASS"
"P17F-008_TASK_COMPLETION","All 12 prespecified tasks completed",TRUE,"PASS"
"P17F-009_DRAW_COMPLETION","All 1,199,988 random-weight draws completed",TRUE,"PASS"
"P17F-010_BATCH_COMPLETION","All 600 prespecified batches completed",TRUE,"PASS"
"P17F-011_RECEIPT_HASHES","All raw output hashes match task receipts",TRUE,"PASS"
"P17F-012_RECEIPT_CODE_HASHES","All task code hashes match the pre-outcome code lock",TRUE,"PASS"
"P17F-013_RAW_MANIFEST","All 36 local raw files match the raw manifest",TRUE,"PASS"
"P17F-014_RAW_FIRST","Raw download completed before frozen evaluation",TRUE,"PASS"
"P17F-015_G17_DECISION","Frozen evaluator returned the G17 pass decision",TRUE,"PASS"
"P17F-016_G17_GATES","All 14 blocking G17 criteria passed",TRUE,"PASS"
"P17F-017_INVALID_FRACTION","Maximum invalid fraction is zero",TRUE,"PASS"
"P17F-018_SELECTED_INTERVALS","All four selected intervals are valid and contain point H",TRUE,"PASS"
"P17F-019_STABILITY","All selected split-half endpoint differences pass",TRUE,"PASS"
"P17F-020_DISCLOSURES","ICC, sparse-category, target, and knot disclosures exist",TRUE,"PASS"
"P17F-021_EVALUATOR_EVIDENCE","All frozen-evaluator evidence hashes remain intact",TRUE,"PASS"
"P17F-022_PROTECTED_BASELINE","Protected Step 14.1 baseline remains intact",TRUE,"PASS"
"P17F-023_AWS_STOPPED","AWS instance was stopped after raw transfer",TRUE,"PASS"
"P17F-024_PHASE18_BLOCKED","Phase 18 remains unauthorized",TRUE,"PASS"
"P17F-025_SOURCE_RESTRICTION","Original-source crosswalk restriction remains explicit",TRUE,"PASS"
"P17F-026_TERMINAL_STATE","Terminal state stops at G17 before Phase 18",TRUE,"PASS"
