"check_id","criterion","pass","observed"
"P16F-001_AUTHORITY","Fresh Phase 16 authority is valid",TRUE,"PASS"
"P16F-002_ZERO_OUTPUT_AUTHORIZATION","Authority was issued before any confirmation output",TRUE,"PASS"
"P16F-003_PROTOCOL_HASH","Frozen protocol hash matches authority",TRUE,"PASS"
"P16F-004_METHOD_LOCK_HASH","Frozen method-lock hash matches authority",TRUE,"PASS"
"P16F-005_EXECUTION_CODE_HASHES","Runner, launcher, evaluator, and execution bundle hashes match",TRUE,"PASS"
"P16F-006_WORKER_OVERRIDE_ONLY","24-worker change is compute parallelism only",TRUE,"PASS"
"P16F-007_AWS_ONLY","Heavy compute used AWS and GCP remained prohibited",TRUE,"PASS"
"P16F-008_CELL_COMPLETION","All 24 cells completed",TRUE,"PASS"
"P16F-009_REPLICATION_COMPLETION","All 9,600 replications completed",TRUE,"PASS"
"P16F-010_ROW_COMPLETION","All 86,400 method rows are present",TRUE,"PASS"
"P16F-011_RECEIPT_HASHES","All 24 output/truth receipt hashes match",TRUE,"PASS"
"P16F-012_RAW_MANIFEST_HASHES","All 72 raw-manifest hashes match",TRUE,"PASS"
"P16F-013_RAW_FIRST_EVALUATION","Raw transfer completed before frozen evaluation",TRUE,"PASS"
"P16F-014_FROZEN_METHOD_ONLY","Only locked gamma and raw comparator were evaluated",TRUE,"PASS"
"P16F-015_GATE_DECISION","Frozen evaluator confirmed the method",TRUE,"PASS"
"P16F-016_ALL_BLOCKING_GATES","All seven blocking criteria passed",TRUE,"PASS"
"P16F-017_INVALID_FRACTION","Selected method has zero invalid fraction",TRUE,"PASS"
"P16F-018_PROTECTED_BASELINE","Protected Step 14.1 baseline remains intact",TRUE,"PASS"
"P16F-019_AWS_STOPPED","AWS instance was stopped after transfer",TRUE,"PASS"
"P16F-020_PHASE17_BLOCKED","Phase 17 remains unauthorized",TRUE,"PASS"
"P16F-021_SOURCE_RESTRICTION","Original-source crosswalk restriction remains",TRUE,"PASS"
"P16F-022_TERMINAL_STATE","Stop before Phase 17",TRUE,"PASS"
