"check_id","criterion","pass","observed"
"P16R-001_AUTHORITY","Phase 15-only authority and required stop are intact",TRUE,"PASS"
"P16R-002_PARENT_G14","G14 authorized clustered-polytomous development",TRUE,"PASS"
"P16R-003_PHASE15_PROTOCOL","Phase 15 protocol was frozen before training outcomes",TRUE,"PASS"
"P16R-004_TESTS","All Phase 15 deterministic tests pass",TRUE,"PASS"
"P16R-005_TRAINING_COMPLETE","Training raw bundle has 24 cells and 2,880 replications",TRUE,"PASS"
"P16R-006_TRAINING_LOCK_BLIND","Training lock records zero validation outcomes accessed",TRUE,"PASS"
"P16R-007_VALIDATION_COMPLETE","Held-out raw bundle has 18 cells and 3,240 replications",TRUE,"PASS"
"P16R-008_FINAL_METHOD_LOCK","One calibrated method is locked after held-out validation",TRUE,"PASS"
"P16R-009_VALIDATION_GATES","Every selected-method held-out gate passes",TRUE,"PASS"
"P16R-010_RAW_FIRST_TRANSFER","Validation lock records raw download before evaluation",TRUE,"PASS"
"P16R-011_CONFIRM_DESIGN_COUNT","Fresh confirmation design contains 24 fixed cells",TRUE,"PASS"
"P16R-012_CONFIRM_CONDITIONS_FRESH","Confirmation conditions are disjoint from Phase 15",TRUE,"PASS"
"P16R-013_CONFIRM_SEEDS_FRESH","Confirmation seed namespace is disjoint from Phase 15",TRUE,"PASS"
"P16R-014_METHOD_IMMUTABLE","Protocol method and gamma equal the final method lock",TRUE,"PASS"
"P16R-015_RUNNER_GUARD","Confirmation runner blocks absent fresh authority",TRUE,"PASS"
"P16R-016_EVALUATOR_GUARD","Confirmation evaluator blocks absent fresh authority",TRUE,"PASS"
"P16R-017_AWS_ONLY","Heavy compute is AWS-only and GCP is prohibited",TRUE,"PASS"
"P16R-018_CONFIRM_AUTH_ABSENT","Fresh Phase 16 authority file is absent",TRUE,"PASS"
"P16R-019_CONFIRM_OUTPUTS_ZERO","Fresh confirmation raw output count is zero",TRUE,"PASS"
"P16R-020_CONFIRM_NOT_EXECUTED","Protocol records confirmation as unauthorized/unexecuted",TRUE,"PASS"
"P16R-021_PROTECTED_BASELINE","Step 14.1 protected source baseline remains intact",TRUE,"PASS"
"P16R-022_SOURCE_RESTRICTION","Unresolved source crosswalk remains a production blocker",TRUE,"PASS"
"P16R-023_TERMINAL_RULE","Required stop is before fresh confirmation",TRUE,"PASS"
