"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T01",1,2026085702,1,2000,2000,2000,0,"c423739c79700910d03ff4330afcc438296c1aa47ff165726691ea1f0250388b"
"P17-T01",2,2026085703,2001,4000,2000,2000,0,"be224c5f167626ab3b0b4cab7913a15434a27c42107677f3fc02e5c622beb7ae"
"P17-T01",3,2026085704,4001,6000,2000,2000,0,"90a2fd3fdf7698fe4fc136bc7e004d135bc526b0ddbec938b3e06839ca835401"
"P17-T01",4,2026085705,6001,8000,2000,2000,0,"320bf45521a2ae3f621a576d58a395cfdb3422faaeeab7b787d02d3f4199409d"
"P17-T01",5,2026085706,8001,10000,2000,2000,0,"88634e834f8d2c2a3dcb13617c0c1400303b33a2f5a7bc7643eeca6662da422e"
"P17-T01",6,2026085707,10001,12000,2000,2000,0,"34dfaa6cbaf0de6fd0dbc374f137a3315e07563ce4d0875dd6a497b55f5200ff"
"P17-T01",7,2026085708,12001,14000,2000,2000,0,"81dd63508b24155997e19d68ccc2024b55e842bc923d2d0d19ee4880751315e4"
"P17-T01",8,2026085709,14001,16000,2000,2000,0,"2d9bf927abc3f754eaaa94a40d362e804cb70bacddf42f43466482c3113efa36"
"P17-T01",9,2026085710,16001,18000,2000,2000,0,"2c604327b3511636aed52456d4a09121d45e81b8c19c0f6606fc2d30f4c9c3c3"
"P17-T01",10,2026085711,18001,20000,2000,2000,0,"42628195a062c4df8a2dda446454b3389cc22de8327d0aaa0e11f56472eafe2c"
"P17-T01",11,2026085712,20001,22000,2000,2000,0,"51f0026767528395ac41821b23d5cd22f28daac581457eaac05e6a30b531ce9d"
"P17-T01",12,2026085713,22001,24000,2000,2000,0,"2ff005ea731465ea031616d182173519249c40a4d8cc1882a5eb3f1db555fd42"
"P17-T01",13,2026085714,24001,26000,2000,2000,0,"a3649a97004dc8164a8d851ca35f3ea62bdea7b2ef572b337185ff5a15c06495"
"P17-T01",14,2026085715,26001,28000,2000,2000,0,"396b0199f4a1533a005cf6c00cdbd8de21b7210c591acfea3e4048078bfd8578"
"P17-T01",15,2026085716,28001,30000,2000,2000,0,"f9c1185814dfb99853b27f4224822ef574983c9e5019c42699b9d623fbbba7f3"
"P17-T01",16,2026085717,30001,32000,2000,2000,0,"db8147b60918134c55674f54fe93bbf938f049cd2c65495e48cda31d665b981a"
"P17-T01",17,2026085718,32001,34000,2000,2000,0,"e2d89877152db1031a7a361383961bb911f585a293b67042fc31d30b4b6720e4"
"P17-T01",18,2026085719,34001,36000,2000,2000,0,"f6193b8f00bc77fc9488e6d36c73ea6f26d85247db80a914f89f10005d1310ce"
"P17-T01",19,2026085720,36001,38000,2000,2000,0,"6f768c23026a3332512572430b21bf2a1cc7edbbdcc70f0637508fe565ca8a8c"
"P17-T01",20,2026085721,38001,40000,2000,2000,0,"87694e94e37432e52b33d26dbcd04c5379928abd99ae4d6c20543f79871ab57d"
"P17-T01",21,2026085722,40001,42000,2000,2000,0,"a5e3c595f93de398b4d9f35f9b6d8c5566772c02daadc264b1a8f2434110733d"
"P17-T01",22,2026085723,42001,44000,2000,2000,0,"42f1fd8a2671311aea58c7f650afe300a59126bb59b9e96e3f64ee00f8d217c8"
"P17-T01",23,2026085724,44001,46000,2000,2000,0,"a63a88fc24853c0ce1a2a469703a0e6df7b343f96fbdd6a764e151023b76b9a5"
"P17-T01",24,2026085725,46001,48000,2000,2000,0,"cf89dd650e42217eb663c273f0d3ffe3098971526764559ff83c077d238c4482"
